Place	Lat	Lng	Region	Postcode
Anglesey Abbey	52.2372162	0.2371953	East of England	CB25 9EJ
Blakeney National Nature Reserve	52.9537162	1.0085263	East of England	NR25 7NW
Blickling Estate	52.8117342	1.2294583	East of England	NR11 6NF
Bourne Mill	51.8770473	0.9101883	East of England	CO2 8RT
Brancaster Estate	52.9669032	0.6665813	East of England	PE31 8BW
Brancaster Activity Centre	52.9666442	0.6643783	East of England	PE31 8BW
Coggeshall Grange Barn	51.8678776	0.6820681	East of England	CO6 1RE
Dunstable Downs, Chilterns Gateway Centre and Whipsnade Estate	51.8652453	-0.5397247	East of England	LU6 2GY
Dunwich Heath and Beach	52.2588933	1.6245263	East of England	IP17 3DJ
Elizabethan House Museum	52.6053442	1.723212	East of England	NR30 2QH
Felbrigg Hall, Gardens & Estate	52.9072949	1.2572543	East of England	NR11 8PR
Flatford: Bridge Cottage	51.9597899	1.0177163	East of England	CO7 6UL
Hatfield Forest	51.8599783	0.2269643	East of England	CM22 6NE
Horsey Windpump	52.7424732	1.6364463	East of England	NR29 4EF
Houghton Mill	52.3309513	-0.1228007	East of England	PE28 2AZ
Ickworth House, Park and Gardens	52.2221278	0.6541425	East of England	IP29 5QE
Lavenham Guildhall	52.1087533	0.7944463	East of England	CO10 9QZ
Melford Hall	52.0826713	0.7211213	East of England	CO10 9AA
Orfordness-Havergate National Nature Reserve	52.0875334	1.536384	East of England	IP12 2NU
Oxburgh Hall	52.5812182	0.5680804	East of England	PE33 9PS
Paycockes	51.8703613	0.680767	East of England	CO6 1NS
Peckover House and Garden	52.6650797	0.1532105	East of England	PE13 1JR
Ramsey Abbey Gatehouse	52.4484283	-0.1024001	East of England	PE26 1DH
RayleighMount	51.5871111	0.6050185	East of England	SS6 7EW
St George's Guildhall	52.7554662	0.3914493	East of England	PE30 1HA
Shaw's Corner	51.8359243	-0.2715447	East of England	AL6 9BX
Sheringham Park	52.9272432	1.1728383	East of England	NR26 8TL
Sutton Hoo	52.0932258	1.3373686	East of England	IP12 3DJ
Theatre Royal Bury St Edmunds	52.2404951	0.7149765	East of England	IP33 1QR
Whipsnade Tree Cathedral	51.8529413	-0.5400247	East of England	LU6 2LQ
Wicken Fen National Nature Reserve	52.3105605	0.2891072	East of England	CB7 5XP
Willington Dovecote and Stables	52.136941	-0.3867843	East of England	MK44 3PX
Wimpole Hall	52.1409642	-0.0519712	East of England	SG8 0BW
National Trust's Carlyle's House	51.4840857	-0.1719533	London	SW3 5HL
National Trust Eastbury Manor House	51.5343392	0.0972529	London	IG11 9SN
Fenton House	51.5588907	-0.1818024	London	NW3 6SP
George Inn	51.5041928	-0.0922146	London	SE1 1NH
Ham House and Garden	51.4442333	-0.3162627	London	TW10 7RS
Morden Hall Park	51.4018679	-0.187292	London	SM4 5JD
